"Estatus","1D_i","1B_i","1C1_i","1D_j","1B_j","1C1_j","NPV"
OK,67,44,61,14,10,10,276963610.7676522
OK,66,42,61,12,12,10,274261241.245368
OK,67,43,60,14,14,9,268232927.32464588
OK,66,43,61,12,12,9,276277041.38276535
OK,67,42,60,14,13,9,268379808.50730604
OK,67,43,60,14,12,8,271835256.7204588
OK,66,42,61,12,12,9,274416711.46224624
OK,67,44,61,13,13,10,273840945.23677844
OK,67,43,61,12,12,9,276230691.3948438
OK,67,42,60,14,10,9,277371112.20551646
OK,67,43,60,14,14,8,266539710.42923886
OK,67,43,60,13,10,9,279792236.0773532
OK,67,42,61,13,10,10,278578129.5094194
OK,67,43,61,12,13,9,273984653.08414656
OK,67,44,61,12,10,10,279038215.99585843
OK,67,42,61,14,13,10,268988411.8166421
OK,67,43,61,14,12,8,272928628.49839574
OK,67,43,61,13,12,10,274761312.42721975
OK,67,43,60,14,12,9,273516227.9942415
OK,67,45,60,14,11,10,277037477.1864337
OK,67,42,61,12,13,10,270878053.9157754
OK,67,45,60,13,12,10,276720918.7034238
OK,67,44,61,13,10,9,277904831.60433894
OK,67,43,60,14,12,9,273516227.9942415
OK,67,44,60,13,14,9,271036650.7379694
OK,66,44,60,13,10,9,276123825.74418986
OK,66,44,61,12,10,8,279599936.9075853
OK,67,44,61,13,12,9,276050779.153744
OK,66,42,61,12,13,10,270990422.64358103
OK,66,44,60,13,11,8,276237049.73102826
OK,66,42,60,14,12,9,271773639.2069948
OK,67,45,60,14,11,8,276262648.40020055
OK,66,44,61,14,13,9,273490466.478921
OK,66,43,61,14,14,8,267770530.57332158
OK,66,43,60,13,13,9,270909484.3087468
OK,67,42,60,14,13,8,266703400.3288407
OK,66,45,61,12,11,9,279727677.845867
OK,67,42,61,13,10,8,278257929.2545296
OK,67,43,60,13,12,8,272549760.7293668
OK,66,43,61,12,13,9,273964829.48613894
OK,66,43,61,12,10,8,282636941.70056087
